,tag,src,tgt,pred
22,67,<RX_6>Cn1nccc1-c1ccc(C(=O)N[C@H](CN)Cc2ccccc2C(F)(F)F)cc1F,Cn1nccc1-c1ccc(C(=O)N[C@@H](Cc2ccccc2C(F)(F)F)CN2C(=O)c3ccccc3C2=O)cc1F,Cn1nccc1-c1ccc(C(=O)N[C@H](CNC(=O)OC(C)(C)C)Cc2ccccc2C(F)(F)F)cc1F
23,71,<RX_6>N#Cc1ccc(NC(=O)c2nc3ccccc3o2)c(C(=O)O)c1,N#Cc1ccc(NC(=O)c2nc3ccccc3o2)c(C(=O)OCc2ccccc2)c1,CCOC(=O)c1cc(C#N)ccc1NC(=O)c1nc2ccccc2o1
24,73,<RX_3>CS(=O)(=O)Nc1cccc(-c2nnc(N)nc2-c2ccccc2)c1,CC1(C)OB(c2cccc(NS(C)(=O)=O)c2)OC1(C)C.Nc1nnc(Br)c(-c2ccccc2)n1,CS(=O)(=O)Nc1cccc(-c2nnc(N)nc2Cl)c1.OB(O)c1ccccc1
25,75,<RX_7>O=C1OC(=O)C2C3CCC(C3)C12,O=C1OC(=O)C2C3C=CC(C3)C12,
26,77,<RX_3>COC(=O)C(OC(C)(C)C)c1cc([N+](=O)[O-])ccc1-c1ccc2c(c1)CCCO2,CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C.COC(=O)C(OC(C)(C)C)c1cc([N+](=O)[O-])ccc1Cl,COC(=O)C(OC(C)(C)C)c1cc([N+](=O)[O-])ccc1Br.OB(O)c1ccc2c(c1)CCCO2
27,81,<RX_2>CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2nccs2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)C,CC[C@H](C)[C@H](NC(=O)OC)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1.COC(=O)N[C@H](C(=O)O)C(C)C,CC[C@H](C)[C@H](NC(=O)OC)C(=O)O.COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(N)Cc1ccc(-c2nccs2)cc1)C(C)C
28,85,<RX_6>CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)NCCN1CCOCC1,CC(C)CC(NC(CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)OC(C)(C)C)C(=O)NCCN1CCOCC1,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)NCCN1CCOCC1)C(=O)OCc1ccccc1
29,92,<RX_1>Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2nccn2Cc2ccccc2)cc2cn[nH]c12,BrCc1ccccc1.Cc1cc(CC(NC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)c2ncc[nH]2)cc2cn[nH]c12,Cc1cc(CC(NC(=O)N2CCC(=O)CC2)c2nccn2Cc2ccccc2)cc2cn[nH]c12.O=C1NCc2ccccc2N1
30,93,<RX_9>CC(=O)O[C@@H]1O[C@H](C)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@@H]1O[C@H](CCl)[C@@H](OC(C)=O)[C@H]1OC(C)=O,CC(=O)O[C@@H]1O[C@@H](C)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O
31,97,<RX_1>Fc1cncc(Cl)c1N1CCNCC1,C1CNCCN1.Fc1cncc(Cl)c1I,C1CNCCN1.Fc1cncc(Cl)c1Cl
32,99,<RX_1>CC(C)CN(Cc1cc(Cl)cc(Cl)c1)C[C@@H]1CCCN1C(=O)OC(C)(C)C,CC(C)CNC[C@@H]1CCCN1C(=O)OC(C)(C)C.O=Cc1cc(Cl)cc(Cl)c1,CC(C)(C)OC(=O)N1CCC[C@H]1CNCc1cc(Cl)cc(Cl)c1.CC(C)C=O
33,105,<RX_1>CN(CCN1CCNC1=C(C#N)C#N)Cc1ccc(CN2CCCCC2)o1,C=O.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCC2)o1,CNCCN1CCNC1=C(C#N)C#N.ClCc1ccc(CN2CCCCC2)o1
34,114,<RX_3>CC(C)(C#N)c1ccc(Cc2c([N+](=O)[O-])cnc3ccc(-c4ccc(Oc5ccccc5)nc4)cc23)cc1,Brc1ccc(Oc2ccccc2)nc1.CC(C)(C#N)c1ccc(Cc2c([N+](=O)[O-])cnc3ccc(B4OC(C)(C)C(C)(C)O4)cc23)cc1,CC(C)(C#N)c1ccc(Cc2c([N+](=O)[O-])cnc3ccc(Br)cc23)cc1.OB(O)c1ccc(Oc2ccccc2)nc1
35,115,<RX_6>CNCc1ccc(C(=O)Cn2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)cc1,CN(Cc1ccc(C(=O)Cn2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)cc1)C(=O)C(F)(F)F,CN(Cc1ccc(C(=O)Cn2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)cc1)C(=O)OC(C)(C)C
36,121,<RX_6>Oc1ccc2c(c1)O[C@@H](c1ccccc1)CC2,CC(C)[Si](Oc1ccc2c(c1)O[C@@H](c1ccccc1)CC2)(C(C)C)C(C)C,COc1ccc2c(c1)O[C@H](c1ccccc1)CC2
37,125,<RX_1>O=C(NC[C@H]1CN(CC2CCc3c(F)cnc4ccc(=O)n2c34)C[C@H]1O)OCc1ccccc1,CS(=O)(=O)OCC1CCc2c(F)cnc3ccc(=O)n1c23.O=C(NC[C@H]1CNC[C@H]1O)OCc1ccccc1,
38,126,<RX_1>CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,CCS(=O)O.Cc1ncc([N+](=O)[O-])n1CCBr,CCS(=O)(=O)CCBr.Cc1ncc([N+](=O)[O-])[nH]1
39,127,<RX_1>N#CC1(NC(=O)[C@@H]2CC[C@@H](S(=O)(=O)c3ccc(N4CC5(COC5)C4)cc3Cl)C2)CC1,C1NCC12COC2.N#CC1(NC(=O)C2CCC(S(=O)(=O)c3ccc(F)cc3Cl)C2)CC1,N#CC1(NC(=O)[C@@H]2CC[C@@H](S(=O)(=O)c3ccc(F)cc3Cl)C2)CC1.O=S1(=O)c2ccc(cc2Cl)NCC12COC2
40,133,<RX_3>CC(C)(C)OC(=O)Nc1ccc(C#Cc2nccs2)cc1[N+](=O)[O-],Brc1nccs1.C#Cc1ccc(NC(=O)OC(C)(C)C)c([N+](=O)[O-])c1,C#Cc1nccs1.CC(C)(C)OC(=O)Nc1ccc(I)cc1[N+](=O)[O-]
41,134,<RX_2>Cc1n[nH]c(C)c1[C@H](C)NC(=O)COc1cc(C(F)(F)F)c2c(-c3ccccc3)nn(C)c2n1,Cc1n[nH]c(C)c1C(C)N.Cn1nc(-c2ccccc2)c2c(C(F)(F)F)cc(OCC(=O)O)nc21,Cc1n[nH]c(C)c1[C@H](C)N.Cn1nc(-c2ccccc2)c2c(C(F)(F)F)cc(OCC(=O)O)nc21
42,136,<RX_2>CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NC(C)=O)[C@H](N=[N+]=[N-])[C@@H]1OS(C)(=O)=O,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@@H](NC(C)=O)[C@H](N=[N+]=[N-])[C@@H]1O.CS(=O)(=O)Cl,CCC(CC)OC(C)=O.CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](N=[N+]=[N-])[C@@H]1O
43,138,<RX_2>Cc1ccc(S(=O)(=O)OC[C@@H]2CCCN2S(=O)(=O)c2ccc3c(c2)C2(OCCCO2)C2=NCC(C)(C)CN23)cc1,CC1(C)CN=C2N(C1)c1ccc(S(=O)(=O)N3CCC[C@H]3CO)cc1C21OCCCO1.Cc1ccc(S(=O)(=O)Cl)cc1,
44,141,<RX_3>COc1cc(-c2cn[nH]c2)cc(OC)c1-c1ccc(N(C)C2CC(C)(C)NC(C)(C)C2)nn1,CC1(C)OB(c2cn[nH]c2)OC1(C)C.COc1cc(Br)cc(OC)c1-c1ccc(N(C)C2CC(C)(C)NC(C)(C)C2)nn1,CN(c1ccc(Cl)nn1)C1CC(C)(C)NC(C)(C)C1.COc1cc(-c2cn[nH]c2)cc(OC)c1B1OC(C)(C)C(C)(C)O1
45,142,<RX_1>NCCNCCNCc1ccccc1,NCCNCCN.O=Cc1ccccc1,NCCN.O=Cc1ccccc1
46,144,<RX_6>O=C(O)C(F)(F)F,CC(C)(C)OC(=O)N1CCC(c2ccccc2NS(C)(=O)=O)CC1,CCCCCCCCCCCCCCCCCCCCCNC(=O)OC(C)(C)C
47,146,<RX_6>O=c1cc(OCc2ccc(F)cc2)cn[nH]1,O=c1cc(OCc2ccc(F)cc2)cnn1C1CCCCO1,CC(=O)n1ncc(OCc2ccc(F)cc2)cc1=O
48,147,<RX_1>FC(F)(F)C(OCOC(C(F)(F)F)C(F)(F)F)C(F)(F)F,FCOC(C(F)(F)F)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F,FC(F)(F)C(OCCl)C(F)(F)F.OC(C(F)(F)F)C(F)(F)F
49,154,<RX_9>N#CC1(c2ccc(Cl)nc2)CCC(=O)CC1,COC(=O)C1CC(C#N)(c2ccc(Cl)nc2)CCC1=O,NC(=O)C1(c2ccc(Cl)nc2)CCC(=O)CC1
50,156,<RX_2>CCCO[C@@H]1C[C@H]([C@@H](O[Si](C)(C)C(C)(C)C)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(C(=O)N3CCC[C@@H]3COC)c2)N(C(=O)OC(C)(C)C)C1,CCCO[C@@H]1C[C@H]([C@@H](O[Si](C)(C)C(C)(C)C)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cccc(C(=O)O)c2)N(C(=O)OC(C)(C)C)C1.COC[C@H]1CCCN1,CCCO[C@@H]1CCN(C(=O)OC(C)(C)C)[C@H]([C@@H](N)Cc2cc(F)cc(F)c2)C1.COC[C@H]1CCCN1C(=O)c1cccc(C(=O)O)c1
51,157,<RX_3>COc1cc(OC)cc(C(=CC#N)c2cc(OC)ccc2OC)c1,CCOP(=O)(CC#N)OCC.COc1cc(OC)cc(C(=O)c2cc(OC)ccc2OC)c1,COP(=O)(CC#N)OC.COc1cc(OC)cc(C(=O)c2cc(OC)ccc2OC)c1
52,159,<RX_3>O=[N+]([O-])c1cc(-c2cccs2)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,CCCC[Sn](CCCC)(CCCC)c1cccs1.O=[N+]([O-])c1cc(I)cn1[C@H]1C[C@H](O)[C@@H](CO)O1,O=[N+]([O-])c1cc(Br)cn1[C@H]1C[C@H](O)[C@@H](CO)O1.OB(O)c1cccs1
53,160,<RX_1>CCC(=Nc1c(C)cc(C(=O)C(C)C)nc1Cl)N[C@H]1CCc2cc(Br)ccc21,CCC(Cl)=Nc1c(C)cc(C(=O)C(C)C)nc1Cl.N[C@H]1CCc2cc(Br)ccc21,CCC(=O)N[C@H]1CCc2cc(Br)ccc21.Cc1cc(C(=O)C(C)C)nc(Cl)c1N
54,161,<RX_2>O=C(O)C(F)(F)F,NCCc1cccnc1.O=C(O)CN1C(=O)CN(C(=O)c2ccc(Cl)cc2)Cc2ccccc21,
55,163,<RX_1>COC(=O)c1cc([N+](=O)[O-])c(OC(=S)N(C)C)c(F)c1Nc1ccccc1C,COC(=O)c1cc([N+](=O)[O-])c(OC(=S)N(C)C)c(F)c1F.Cc1ccccc1N,CN(C)C(=S)Cl.COC(=O)c1cc([N+](=O)[O-])c(O)c(F)c1Nc1ccccc1C
56,171,<RX_1>CCCC[Sn](CCCC)(CCCC)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,CCCC[Sn](Cl)(CCCC)CCCC.Ic1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1,Brc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1.CCCC[Sn](Cl)(CCCC)CCCC
57,183,<RX_1>C[C@H]1COCCN1c1cc(CS(=O)(=O)c2ccc(F)c(F)c2)nc(Cl)n1,C[C@H]1COCCN1c1cc(CI)nc(Cl)n1.O=S([O-])c1ccc(F)c(F)c1,C[C@H]1COCCN1.O=S(=O)(Cc1cc(Cl)nc(Cl)n1)c1ccc(F)c(F)c1
58,194,<RX_1>CCCCCCCCCCCOc1ccc(-c2c3ccc(n3)c(-c3ccc(O)cc3)c3ccc([nH]3)c(-c3ccc(O)cc3)c3ccc(n3)c(-c3ccc(O)cc3)c3ccc2[nH]3)cc1,CCCCCCCCCCCBr.Oc1ccc(-c2c3ccc(n3)c(-c3ccc(O)cc3)c3ccc([nH]3)c(-c3ccc(O)cc3)c3ccc(n3)c(-c3ccc(O)cc3)c3ccc2[nH]3)cc1,CCCCCCCCCCBr.Oc1ccc(-c2c3ccc-3c(-c3ccc(O)cc3)c3nc(c(-c4ccc(O)cc4)c4ccc([nH]4)c(-c4ccc(O)cc4)c4nc2C=C4)C=C3)cc1
59,200,<RX_2>O=C(O)C(F)(F)F,O=C(C[C@@H]1CCNC1)Nc1ccc2cc1CCc1cncc(c1)Nc1ncc(Cl)c(n1)N2.O=C=Nc1ccccc1F,
60,203,<RX_3>O=S(=O)(c1ccc(C(O)c2ccccc2)cc1)N1CCc2ccoc2C1,O=Cc1ccc(S(=O)(=O)N2CCc3ccoc3C2)cc1.[Mg+]c1ccccc1,O=Cc1ccc(S(=O)(=O)N2CCc3ccoc3C2)cc1.O=Cc1ccccc1
61,204,<RX_6>O=C(O)C(F)(F)F,COc1ccc(CS[C@@H]2C[C@@H](CCC(=O)c3ccc(F)cc3)N(C(=O)OC(C)(C)C)C2)cc1,CCCCCCCCCCCCCCCCCCCCCNC(=O)OC(C)(C)C
62,209,<RX_1>C#CCCCCN(C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,C#CCCCCCl.O=C(NC(=O)OCc1ccccc1)OCc1ccccc1,C#CCCCCBr.O=C(NC(=O)OCc1ccccc1)OCc1ccccc1
63,211,<RX_9>COC(=O)CC1Cc2ccc(S)cc2C1,COC(=O)CC1Cc2ccc(SCc3sc(-c4ccc(C(F)(F)F)cc4)nc3C)cc2C1,COC(=O)CC1(C(=O)OC)Cc2ccc(S(=O)(=O)Cl)cc2C1
64,213,<RX_1>Cc1ccc(S(=O)(=O)n2ccc3c(-c4c(-c5ccc(F)cc5)nc5ccc(N6CCN[C@H](C)C6)nn45)ccnc32)cc1,C[C@@H]1CNCCN1.Cc1ccc(S(=O)(=O)n2ccc3c(-c4c(-c5ccc(F)cc5)nc5ccc(Cl)nn45)ccnc32)cc1,C[C@@H]1CNCCN1.Cc1ccc(S(=O)(=O)n2ccc3c(-c4ccc(F)cc4)nc(Cl)cc32)cc1
65,217,<RX_1>CCCO[C@H]1CN(c2nc(-c3ncnn3C)c(C(=O)OC)s2)CC[C@H]1NC(=O)c1cc(Cl)c(C)[nH]1,CCCO[C@@H]1CNCC[C@@H]1NC(=O)c1cc(Cl)c(C)[nH]1.COC(=O)c1sc(Cl)nc1-c1ncnn1C,CCCO[C@H]1CNCC[C@H]1NC(=O)c1cc(Cl)c(C)[nH]1.COC(=O)c1sc(Cl)nc1-c1ncnn1C
66,219,<RX_1>C[Sn](C)(C)c1cc2nccc(Cl)c2s1,C[Sn](C)(C)[Sn](C)(C)C.Clc1ccnc2cc(I)sc12,C[Sn](C)(C)Cl.Clc1ccnc2ccsc12
67,226,<RX_5>C[C@@H](NC(=O)OC(C)(C)C)c1ccc(Br)cc1F,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.C[C@@H]([NH3+])c1ccc(Br)cc1F,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.C[C@@H](N)c1ccc(Br)cc1F
68,233,<RX_6>NCCCOCCCCOCCCNc1nc(Nc2ccc(C(=O)O)cc2)nc(OCC(F)(F)F)n1,COC(=O)c1ccc(Nc2nc(NCCCOCCCCOCCCN)nc(OCC(F)(F)F)n2)cc1,CC(C)(C)OC(=O)NCCCOCCCCOCCCNc1nc(Nc2ccc(C(=O)O)cc2)nc(OCC(F)(F)F)n1
69,235,<RX_3>COc1ccc(-c2ccc3[nH]c(=O)c(-c4nc5ccccc5[nH]4)c(N[C@@H]4CN5CCC4CC5)c3c2)cc1,COc1ccc(B(O)O)cc1.O=c1[nH]c2ccc(Br)cc2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1,
70,237,<RX_8>CC(=O)Nc1cc(OCC(F)(F)C(F)(F)F)nn1-c1cc(S(=O)CC(F)(F)Cl)c(C)cc1F,CC(=O)Nc1cc(OCC(F)(F)C(F)(F)F)nn1-c1cc(SCC(F)(F)Cl)c(C)cc1F.O=C(OO)c1cccc(Cl)c1,CC(=O)Nc1cc(OCC(F)(F)C(F)(F)F)nn1-c1cc(SCC(F)(F)C(F)(F)F)c(C)cc1F.O=S([O-])([O-])=S
71,241,<RX_1>CC1(C)CN([C@H]2C[C@@]3(C)[C@@H](CC[C@H]4[C@@H]5CC[C@H](C(=O)CSC#N)[C@@]5(C)CC(=O)[C@@H]43)C[C@@H]2O)CCO1,CC1(C)CN([C@H]2C[C@@]3(C)[C@@H](CC[C@H]4[C@@H]5CC[C@H](C(=O)CCl)[C@@]5(C)CC(=O)[C@@H]43)C[C@@H]2O)CCO1.N#C[S-],CC1(C)CN([C@H]2C[C@@H]3[C@@H](CC[C@@H]4[C@@]3(C)CC[C@@H]3C(=O)C[C@@]34C)[C@@H]2O)CCO1.N#C[S-]
72,246,<RX_2>O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1,CC(Cl)OC(=O)OCc1ccccc1.O=C(O)[C@@H]1CCCN1,O=C(Cl)OCc1ccccc1.O=C(O)[C@@H]1CCCN1
73,249,<RX_1>C=C(CC(=O)OC)C[Si](C)(C)C,C=C(CC(=O)O)C[Si](C)(C)C.C=[N+]=[N-],C=C(CC(=O)OC)C[Si](C)(C)C.C=[N+]=[N-]
74,253,<RX_1>CCOC(=O)c1c(OCC)cc(C)nc1Cl,CCOC(=O)c1c(Cl)cc(C)nc1Cl.CC[O-],CCI.CCOC(=O)c1c(O)cc(C)nc1Cl
75,255,<RX_1>CCN(Cc1ccccc1N)c1ccc(C(N)=O)nn1,CCNCc1ccccc1N.NC(=O)c1ccc(Cl)nn1,CCI.NC(=O)c1ccc(NCc2ccccc2N)nn1
76,265,<RX_2>CN(C)C(=O)Oc1cccc2c1CC[C@H]1[C@@H]2CCN1CCCCCCN1C(=O)CC(C)(C)CC1=O,CC1(C)CC(=O)N(CCCCCCN2CC[C@@H]3c4cccc(O)c4CC[C@@H]32)C(=O)C1.CN(C)C(=O)Cl,
77,268,<RX_4>CCc1cc(=O)c2cc(F)ccc2[nH]1,CCC(=O)CC(=O)OC.Nc1ccc(F)cc1,CCC(=O)CC(=O)c1cc(F)ccc1N
78,273,<RX_9>CC(=O)N[C@H]1[C@@H](N=[N+]=[N-])O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,CC(=O)N[C@H]1[C@@H](Cl)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O.[N-]=[N+]=[N-],CC(=O)N[C@H]1[C@@H](OC(C)=O)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]1O.[N-]=[N+]=[N-]
79,276,<RX_1>CC1NC2=NCCN2C1c1ccccc1,CC(NC1=NCCN1)C(O)c1ccccc1,CC1NC2=NCCN2C1c1ccccc1.CI
80,277,<RX_3>CC(C)(O)C#Cc1cccc(Br)n1,C#Cc1cccc(Br)n1.CC(C)=O,Brc1cccc(Br)n1.C#CC(C)(C)O
81,293,<RX_1>O=C(O)c1cccc(Sc2ccccn2)c1,Ic1ccccn1.O=C(O)c1cccc(S)c1,O=C(O)c1cccc(I)c1.Sc1ccccn1
82,295,<RX_6>O=C(O)C(F)(F)F,CC(C)(C)OC(=O)N1CC[C@H](SC(=O)c2ccccc2)C1,CCCCCCCCCCCCCCCCCCCCCNC(=O)OC(C)(C)C
83,298,<RX_3>CCOC(=O)/C=C1\CC[C@@H](c2cccc(F)c2F)[C@H](NC(=O)OC(C)(C)C)c2cccnc21,CC(C)(C)OC(=O)N[C@@H]1c2cccnc2C(=O)CC[C@H]1c1cccc(F)c1F.CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)N[C@H]1C(=O)CCc2ncccc21.CCOC(=O)CP(=O)(OCC)OCC
84,314,<RX_1>O=c1ccc2ncc(=O)n3c2n1CC3CN1CCC(NCc2ccc(C(F)(F)F)nn2)CC1,FC(F)(F)c1ccc(CBr)nn1.NC1CCN(CC2Cn3c(=O)ccc4ncc(=O)n2c43)CC1,NC1CCN(CC2Cn3c(=O)cnc4ccc(=O)n2c43)CC1.O=Cc1ccc(C(F)(F)F)nn1
